feature	in_v2_top150	in_v1
DNase_axis_sum	True	True
DNase_gene_autocorr	True	True
DNase_gene_logz_max	True	False
DNase_gene_logz_std_chr_rank	False	True
DNase_gene_signal_std_chr_rank	False	True
DNase_tss_H3K36me3_gene_cross_chr_rank	True	True
DNase_tss_closest_peak_to_TSS_chr_rank	True	False
DNase_tss_closest_peak_to_TSS_global_rank	False	True
DNase_tss_entropy	True	True
DNase_tss_logz_max	True	False
DNase_tss_logz_max_chr_rank	True	False
DNase_tss_logz_max_global_rank	True	False
DNase_tss_logz_mean	True	False
DNase_tss_logz_mean_global_rank	True	False
DNase_tss_logz_min	True	True
DNase_tss_logz_min_chr_rank	True	False
DNase_tss_logz_std	False	True
DNase_tss_skewness	False	True
DNase_tss_skewness_chr_rank	True	False
H3K27ac_gene_autocorr	False	True
H3K27ac_gene_closest_peak_to_TSS	True	True
H3K27ac_gene_logz_diff	True	False
H3K27ac_gene_logz_std	True	True
H3K27ac_gene_signal_max	True	False
H3K27ac_gene_width_mean	True	False
H3K27ac_promoter_body_delta	False	True
H3K27ac_tss_gradient_mean	True	False
H3K27ac_tss_laplacian_chr_rank	True	False
H3K27ac_tss_logz_diff	True	True
H3K27ac_tss_logz_max	True	True
H3K27ac_tss_logz_mean_chr_rank	False	True
H3K27ac_tss_logz_std	True	True
H3K27ac_tss_skewness	False	True
H3K27me3_gene_logz_max	False	True
H3K27me3_gene_logz_mean	False	True
H3K27me3_gene_logz_mean_chr_rank	True	False
H3K27me3_gene_logz_std	True	True
H3K27me3_tss_entropy_chr_rank	False	True
H3K27me3_tss_logz_mean_global_rank	True	False
H3K27me3_tss_logz_min	True	False
H3K36me3_gene_gradient_mean	False	True
H3K36me3_gene_logz_diff_chr_rank	True	False
H3K36me3_gene_logz_mean	True	True
H3K36me3_gene_logz_mean_global_rank	True	False
H3K36me3_gene_logz_std	True	True
H3K36me3_gene_logz_std_chr_rank	True	False
H3K36me3_gene_peak_pos_entropy	False	True
H3K36me3_gene_qvalue_std_chr_rank	False	True
H3K36me3_tss_entropy	True	False
H3K36me3_tss_logz_max	False	True
H3K36me3_tss_logz_max_chr_rank	True	False
H3K4me1_gene_autocorr	False	True
H3K4me1_gene_logz_max_chr_rank	True	False
H3K4me1_gene_logz_std_global_rank	False	True
H3K4me1_gene_signal_max	True	True
H3K4me1_gene_signal_min	False	True
H3K4me1_tss_entropy	False	True
H3K4me1_tss_laplacian	True	False
H3K4me1_tss_logz_diff	False	True
H3K4me1_tss_logz_mean	False	True
H3K4me1_tss_logz_mean_chr_rank	True	True
H3K4me1_tss_logz_mean_global_rank	True	False
H3K4me3_gene_closest_peak_to_TSS	False	True
H3K4me3_gene_coverage_ratio	True	False
H3K4me3_gene_entropy	False	True
H3K4me3_gene_logz_diff	True	False
H3K4me3_gene_logz_max	True	False
H3K4me3_gene_logz_max_global_rank	True	False
H3K4me3_gene_logz_mean	False	True
H3K4me3_gene_logz_mean_global_rank	True	False
H3K4me3_gene_logz_std	True	False
H3K4me3_gene_logz_std_chr_rank	False	True
H3K4me3_gene_qvalue_sum_chr_rank	False	True
H3K4me3_gene_signal_diff	False	True
H3K4me3_gene_width_max	False	True
H3K4me3_gene_width_sum	False	True
H3K4me3_tss_autocorr	True	False
H3K4me3_tss_entropy_chr_rank	True	False
H3K4me3_tss_gradient_mean	True	False
H3K4me3_tss_gradient_mean_global_rank	True	False
H3K4me3_tss_laplacian	True	False
H3K4me3_tss_logz_diff	True	True
H3K4me3_tss_logz_diff_global_rank	True	False
H3K4me3_tss_logz_max	True	True
H3K4me3_tss_logz_max_chr_rank	True	False
H3K4me3_tss_logz_max_global_rank	True	False
H3K4me3_tss_logz_min	False	True
H3K4me3_tss_logz_min_chr_rank	False	True
H3K4me3_tss_logz_std	True	True
H3K4me3_tss_skewness	True	True
H3K9me3_gene_gradient_mean_chr_rank	True	False
H3K9me3_gene_logz_std	False	True
activation_index	False	True
cross_DNase_bw_promoter_gene_delta	True	True
cross_DNase_tss_bw_bed_interaction	True	False
cross_DNase_tss_bw_over_peak_density	True	False
cross_DNase_tss_bw_vs_bed_mean_diff	True	False
cross_H3K27ac_bw_promoter_gene_delta	True	False
cross_H3K36me3_bw_promoter_gene_delta	True	True
cross_H3K36me3_bw_promoter_gene_ratio	False	True
cross_H3K4me1_bw_promoter_gene_delta	False	True
cross_H3K4me3_bw_promoter_gene_delta	False	True
cross_H3K4me3_gene_bw_over_peak_density	True	True
cross_H3K4me3_tss_bw_vs_bed_mean_diff	True	False
cross_H3K9me3_bw_promoter_gene_delta	False	True
openness_index	False	True
tss_length	True	False
tss_length_chr_rank	True	True
tss_to_gene_boundary_min	False	True
tss_to_gene_boundary_min_chr_rank	True	False
